input,output
06/13/1923,"June 13, 1923"
"June 04, 2051",06/04/2051
24/09/1974,"September 24, 1974"
04/17/1984,17/04/1984
12/04/2010,2010-12-04
"August 16, 2044",08/16/2044
07/03/2019,2019-03-07
05/25/1978,25/05/1978
1955-05-13,"May 13, 1955"
2006-05-01,"May 01, 2006"
02/08/2002,08/02/2002
"June 21, 2019",2019-06-21
2038-09-21,"September 21, 2038"
"February 20, 1974",20/02/1974
"December 07, 1900",12/07/1900
06/22/2011,"June 22, 2011"
08/28/1991,"August 28, 1991"
"December 22, 2025",22/12/2025
"August 02, 1948",08/02/1948
"January 18, 2088",18/01/2088
08/05/1947,1947-08-05
22/01/1912,01/22/1912
01/07/1999,1999-07-01
2065-10-13,13/10/2065
27/05/2045,"May 27, 2045"
06/08/2066,"June 08, 2066"
20/05/2022,05/20/2022
10/09/2094,"September 10, 2094"
1910-02-03,"February 03, 1910"
2072-11-16,"November 16, 2072"
29/03/2046,2046-03-29
20/04/2033,04/20/2033
"February 19, 2093",2093-02-19
"December 20, 1933",12/20/1933
"June 18, 2066",06/18/2066
"March 19, 1905",1905-03-19
04/07/1938,"April 07, 1938"
06/07/1974,07/06/1974
09/08/2060,08/09/2060
"August 19, 2065",08/19/2065
1906-05-16,"May 16, 1906"
30/10/2030,"October 30, 2030"
22/08/1996,"August 22, 1996"
1956-06-10,"June 10, 1956"
1994-07-09,"July 09, 1994"
07/08/2067,"July 08, 2067"
10/29/1963,1963-10-29
"November 03, 1955",03/11/1955
08/09/1968,"September 08, 1968"
"October 01, 2062",10/01/2062
04/08/1974,1974-04-08
12/01/2003,"January 12, 2003"
08/07/2039,07/08/2039
01/01/2094,"January 01, 2094"
21/08/1929,1929-08-21
1916-11-06,06/11/1916
11/08/1963,08/11/1963
"June 20, 1999",06/20/1999
04/02/1954,1954-04-02
2025-03-01,"March 01, 2025"
12/07/1957,1957-12-07
1998-08-13,08/13/1998
24/04/1917,04/24/1917
10/09/2045,"September 10, 2045"
21/01/1932,1932-01-21
29/10/2050,"October 29, 2050"
1965-07-30,30/07/1965
"November 06, 1931",06/11/1931
01/08/1941,1941-08-01
04/09/2072,"April 09, 2072"
12/12/2057,12/12/2057
04/22/1900,22/04/1900
"June 20, 1964",1964-06-20
"April 24, 1930",1930-04-24
08/17/1949,1949-08-17
02/07/2069,2069-07-02
1969-12-18,18/12/1969
"July 11, 2014",11/07/2014
1974-03-31,31/03/1974
07/26/1918,1918-07-26
04/09/1925,"April 09, 1925"
2077-04-24,24/04/2077
1909-11-16,16/11/1909
28/03/1972,03/28/1972
2054-04-24,"April 24, 2054"
14/07/1997,1997-07-14
1915-06-03,06/03/1915
"November 01, 2042",11/01/2042
"April 18, 2073",04/18/2073
27/06/2038,"June 27, 2038"
23/02/2051,2051-02-23
01/06/2029,06/01/2029
2016-01-31,01/31/2016
2015-02-28,"February 28, 2015"
1944-09-06,"September 06, 1944"
15/02/2072,02/15/2072
22/11/2046,11/22/2046
"July 19, 1952",1952-07-19
1932-03-05,05/03/1932
"August 28, 1961",28/08/1961
"November 20, 1900",1900-11-20
06/23/1966,1966-06-23
1963-10-19,"October 19, 1963"
10/05/1972,05/10/1972
05/02/1900,"February 05, 1900"
2040-04-27,"April 27, 2040"
24/04/1999,"April 24, 1999"
26/02/2078,02/26/2078
03/28/1950,28/03/1950
07/18/2063,2063-07-18
2091-04-02,04/02/2091
"February 08, 1915",08/02/1915
04/26/1960,"April 26, 1960"
2065-10-09,09/10/2065
11/26/2045,"November 26, 2045"
03/04/1906,1906-04-03
"December 12, 1902",1902-12-12
07/07/1966,"July 07, 1966"
"September 04, 2099",04/09/2099
"January 25, 1922",1922-01-25
"November 24, 2020",2020-11-24
12/22/2021,22/12/2021
2088-09-02,"September 02, 2088"
05/19/1955,19/05/1955
1933-02-23,23/02/1933
09/09/1988,"September 09, 1988"
1985-06-06,06/06/1985
"December 29, 1913",1913-12-29
02/19/2039,2039-02-19
05/18/1987,18/05/1987
2006-04-12,04/12/2006
04/11/2077,"April 11, 2077"
02/03/2018,"February 03, 2018"
2032-07-30,"July 30, 2032"
08/11/2007,"November 08, 2007"
01/06/1904,06/01/1904
05/07/1966,"July 05, 1966"
"March 19, 1910",19/03/1910
2066-06-13,13/06/2066
31/05/2048,2048-05-31
05/16/2021,16/05/2021
21/01/2028,"January 21, 2028"
04/24/1981,"April 24, 1981"
2064-03-14,03/14/2064
1916-09-04,04/09/1916
19/06/2035,2035-06-19
2018-07-26,"July 26, 2018"
12/26/1931,26/12/1931
10/09/1917,"September 10, 1917"
04/09/2047,"April 09, 2047"
"October 22, 2049",10/22/2049
"April 28, 2033",2033-04-28
"October 16, 2077",10/16/2077
20/03/1905,"March 20, 1905"
1927-11-29,29/11/1927
2049-05-05,05/05/2049
2087-03-18,18/03/2087
2051-09-13,09/13/2051
2045-12-17,"December 17, 2045"
09/02/2062,02/09/2062
19/04/2005,"April 19, 2005"
1998-06-09,09/06/1998
30/04/2069,04/30/2069
"July 29, 2016",2016-07-29
"November 09, 1902",1902-11-09
29/11/2084,11/29/2084
04/28/1985,"April 28, 1985"
1929-04-10,"April 10, 1929"
"November 22, 1989",1989-11-22
1994-03-23,23/03/1994
07/16/2052,16/07/2052
09/01/1915,01/09/1915
2034-04-01,01/04/2034
03/27/2065,"March 27, 2065"
"January 19, 1922",19/01/1922
07/10/1984,1984-07-10
1972-06-26,"June 26, 1972"
17/10/2011,"October 17, 2011"
12/29/2099,2099-12-29
2095-04-21,"April 21, 2095"
"March 01, 1965",01/03/1965
1937-01-05,"January 05, 1937"
"February 03, 2030",2030-02-03
"November 14, 2063",14/11/2063
"December 09, 2098",09/12/2098
1999-05-30,05/30/1999
"September 10, 2083",2083-09-10
01/06/2066,06/01/2066
"October 12, 1984",10/12/1984
2065-02-06,06/02/2065
1932-03-06,"March 06, 1932"
04/28/2080,28/04/2080
10/04/1949,04/10/1949
2096-10-21,21/10/2096
08/23/1922,23/08/1922
"September 13, 1923",09/13/1923
2006-05-23,05/23/2006
"October 08, 2021",2021-10-08
1953-03-02,"March 02, 1953"
2003-03-29,29/03/2003
05/05/2090,2090-05-05
1952-11-16,"November 16, 1952"
2071-03-28,"March 28, 2071"
"August 27, 2021",2021-08-27
"January 09, 2085",09/01/2085
1968-08-02,02/08/1968
11/04/2048,04/11/2048
1976-07-07,07/07/1976
2022-09-08,08/09/2022
1973-03-16,"March 16, 1973"
"July 02, 1903",02/07/1903
2074-04-03,03/04/2074
"October 19, 1959",19/10/1959
2005-06-03,03/06/2005
"September 16, 1919",16/09/1919
"January 06, 1975",01/06/1975
1990-06-05,05/06/1990
13/06/2015,2015-06-13
"September 27, 1996",27/09/1996
"May 31, 2034",31/05/2034
04/20/2084,2084-04-20
"May 12, 1925",1925-05-12
1964-02-25,"February 25, 1964"
2001-03-30,30/03/2001
11/12/1980,12/11/1980
04/08/1978,1978-04-08
11/11/1984,1984-11-11
07/11/2078,2078-07-11
"December 16, 2096",16/12/2096
2019-04-02,"April 02, 2019"
26/07/2003,"July 26, 2003"
"December 20, 2086",12/20/2086
"March 07, 1979",1979-03-07
16/08/2001,"August 16, 2001"
04/25/1924,1924-04-25
12/14/2030,"December 14, 2030"
2035-05-05,05/05/2035
1964-08-03,08/03/1964
09/27/2046,"September 27, 2046"
27/10/1903,"October 27, 1903"
11/30/2006,30/11/2006
"February 22, 1964",1964-02-22
"August 09, 1960",08/09/1960
"September 13, 1978",1978-09-13
10/29/2095,2095-10-29
11/12/1979,12/11/1979
1977-12-18,18/12/1977
"June 13, 1936",1936-06-13
01/30/1948,1948-01-30
1929-10-18,10/18/1929
21/01/1987,01/21/1987
07/02/1957,"February 07, 1957"
"July 13, 1975",13/07/1975
"August 11, 1920",08/11/1920
1945-03-27,03/27/1945
14/07/2092,2092-07-14
10/24/2030,24/10/2030
04/04/1900,"April 04, 1900"
12/27/1900,"December 27, 1900"
2034-11-02,11/02/2034
12/26/2081,2081-12-26
09/21/1906,21/09/1906
01/17/1950,17/01/1950
10/08/1943,"August 10, 1943"
26/03/2046,2046-03-26
1990-03-15,15/03/1990
2019-04-30,30/04/2019
"May 06, 1938",06/05/1938
1907-01-03,01/03/1907
"November 22, 2077",22/11/2077
"November 16, 2021",2021-11-16
1928-07-28,28/07/1928
19/08/1971,1971-08-19
2040-08-04,"August 04, 2040"
07/26/2047,2047-07-26
2015-03-13,03/13/2015
24/05/2016,2016-05-24
"January 16, 1964",01/16/1964
10/26/1925,"October 26, 1925"
"November 28, 1948",28/11/1948
30/10/1977,10/30/1977
01/17/2052,"January 17, 2052"
05/02/2048,02/05/2048
23/02/1986,"February 23, 1986"
"September 17, 1944",09/17/1944
21/02/2058,"February 21, 2058"
28/07/2072,07/28/2072
"July 03, 2007",07/03/2007
1929-05-01,"May 01, 1929"
10/12/2073,2073-10-12
"December 28, 1918",12/28/1918
2025-03-10,"March 10, 2025"
"September 04, 2065",04/09/2065
10/01/1935,01/10/1935
20/08/1992,08/20/1992
2017-11-15,11/15/2017
13/11/1930,1930-11-13
03/07/2021,07/03/2021
01/22/1941,22/01/1941
07/15/2075,2075-07-15
"July 31, 1913",1913-07-31
"October 16, 2067",2067-10-16
"November 26, 2072",26/11/2072
2056-09-14,"September 14, 2056"
28/03/1932,"March 28, 1932"
1979-05-02,02/05/1979
02/11/2077,11/02/2077
1919-06-09,"June 09, 1919"
11/17/1947,1947-11-17
03/10/2035,"March 10, 2035"
07/14/2023,2023-07-14
02/11/2022,2022-11-02
02/05/1941,1941-05-02
20/08/2035,08/20/2035
1975-06-17,17/06/1975
1956-09-04,09/04/1956
2005-04-24,"April 24, 2005"
02/06/1943,1943-06-02
10/11/2001,2001-11-10
11/12/1922,1922-11-12
"December 08, 1929",12/08/1929
07/06/2090,2090-06-07
28/06/1951,"June 28, 1951"
1916-04-12,04/12/1916
2041-03-23,"March 23, 2041"
06/02/1955,02/06/1955
1964-11-29,29/11/1964
2023-06-17,17/06/2023
09/23/2042,2042-09-23
2094-07-28,"July 28, 2094"
02/09/1981,"September 02, 1981"
05/05/1946,05/05/1946
1920-04-24,04/24/1920
06/12/2001,12/06/2001
"December 31, 1963",12/31/1963
10/03/2058,2058-03-10
"April 28, 1900",04/28/1900
08/13/1906,1906-08-13
2003-10-19,10/19/2003
26/12/1965,12/26/1965
"July 27, 1998",07/27/1998
08/06/1925,"June 08, 1925"
27/04/2059,2059-04-27
"June 05, 2075",05/06/2075
2018-05-15,"May 15, 2018"
23/07/1921,07/23/1921
1948-07-31,"July 31, 1948"
30/07/2061,07/30/2061
"April 30, 1975",30/04/1975
"July 10, 2056",07/10/2056
08/30/1997,30/08/1997
"February 04, 2055",2055-02-04
2030-05-13,13/05/2030
"February 14, 2081",2081-02-14
02/15/2038,15/02/2038
02/11/1917,11/02/1917
"October 02, 2040",2040-10-02
24/09/1926,1926-09-24
02/17/1986,17/02/1986
1900-09-04,"September 04, 1900"
06/07/2012,2012-07-06
04/11/2044,2044-11-04
"December 10, 1915",12/10/1915
01/06/1949,1949-01-06
"August 24, 2055",2055-08-24
1984-02-09,"February 09, 1984"
03/29/2044,"March 29, 2044"
"November 22, 2044",22/11/2044
14/06/2018,06/14/2018
"April 12, 2055",04/12/2055
"January 23, 2009",01/23/2009
09/18/2094,2094-09-18
"May 11, 1909",05/11/1909
2006-06-12,06/12/2006
07/29/1948,29/07/1948
07/24/2011,2011-07-24
2043-07-26,"July 26, 2043"
"August 20, 2021",20/08/2021
"April 19, 1996",04/19/1996
1985-12-24,12/24/1985
20/12/1958,12/20/1958
27/10/2051,"October 27, 2051"
2056-04-19,"April 19, 2056"
"November 21, 2057",11/21/2057
27/01/1998,1998-01-27
21/11/2012,2012-11-21
"January 28, 2069",01/28/2069
1943-07-28,07/28/1943
2062-05-15,15/05/2062
07/05/2015,2015-05-07
1914-08-15,08/15/1914
04/11/1972,1972-04-11
1986-12-26,26/12/1986
03/10/1976,10/03/1976
"June 10, 1953",1953-06-10
2098-01-03,"January 03, 2098"
1946-12-12,12/12/1946
11/07/2067,07/11/2067
2055-01-17,17/01/2055
"March 02, 1957",03/02/1957
11/14/1934,1934-11-14
2035-02-16,02/16/2035
10/07/1941,1941-07-10
1910-04-27,27/04/1910
24/07/1921,1921-07-24
"November 29, 2010",29/11/2010
20/07/2044,2044-07-20
24/07/2079,2079-07-24
11/12/1926,12/11/1926
2072-10-19,"October 19, 2072"
10/09/1942,1942-09-10
21/01/2011,01/21/2011
31/10/1920,"October 31, 1920"
1909-11-13,13/11/1909
02/12/1939,1939-12-02
06/28/1933,1933-06-28
28/02/2038,02/28/2038
06/15/2089,2089-06-15
"December 27, 1956",27/12/1956
10/11/2093,11/10/2093
31/05/1909,1909-05-31
10/06/2017,2017-10-06
1975-09-14,"September 14, 1975"
15/04/2069,04/15/2069
03/21/2083,"March 21, 2083"
1991-12-26,26/12/1991
1911-11-08,08/11/1911
08/22/2073,"August 22, 2073"
12/28/1977,"December 28, 1977"
06/09/1917,09/06/1917
"March 16, 2029",2029-03-16
"January 11, 1935",01/11/1935
12/30/1945,1945-12-30
"November 12, 1972",11/12/1972
2073-04-07,"April 07, 2073"
1955-02-11,11/02/1955
09/15/1950,"September 15, 1950"
25/04/1980,"April 25, 1980"
12/24/2046,24/12/2046
"October 16, 2015",2015-10-16
10/01/1936,01/10/1936
17/09/2097,2097-09-17
23/01/1925,"January 23, 1925"
07/27/1973,"July 27, 1973"
"June 26, 1911",1911-06-26
1942-02-13,"February 13, 1942"
2056-05-23,23/05/2056
07/21/2089,"July 21, 2089"
1962-02-08,08/02/1962
09/22/1993,"September 22, 1993"
09/29/1905,29/09/1905
2091-09-06,09/06/2091
"October 24, 1989",10/24/1989
06/17/1998,1998-06-17
17/10/2030,10/17/2030
"July 26, 2019",26/07/2019
1986-12-02,"December 02, 1986"
02/04/1956,04/02/1956
"November 05, 1948",1948-11-05
2006-05-19,05/19/2006
"December 28, 1920",28/12/1920
2049-07-28,28/07/2049
"November 26, 1961",1961-11-26
06/12/1960,12/06/1960
1939-04-04,"April 04, 1939"
09/08/2071,08/09/2071
1951-12-02,"December 02, 1951"
05/03/1951,03/05/1951
04/28/1931,"April 28, 1931"
06/04/1905,04/06/1905
10/27/2009,"October 27, 2009"
1916-06-28,28/06/1916
"May 27, 1945",1945-05-27
"November 07, 1919",1919-11-07
2082-03-21,"March 21, 2082"
10/27/2033,"October 27, 2033"
30/11/2082,11/30/2082
2037-03-06,"March 06, 2037"
05/06/1922,06/05/1922
07/09/2045,2045-07-09
"October 17, 2061",10/17/2061
"October 07, 2022",2022-10-07
08/05/2073,05/08/2073
2036-02-09,"February 09, 2036"
25/01/2001,01/25/2001
02/15/1984,1984-02-15
06/11/2099,11/06/2099
03/11/1933,11/03/1933
08/28/2039,2039-08-28
2034-11-05,11/05/2034
07/03/1911,1911-07-03
"April 26, 2032",26/04/2032
23/11/2005,11/23/2005
2046-09-07,09/07/2046
2041-11-27,11/27/2041
03/07/2096,2096-07-03
1988-11-19,19/11/1988
05/27/2074,"May 27, 2074"
1976-04-20,"April 20, 1976"
"April 27, 2041",2041-04-27
1909-06-30,"June 30, 1909"
"February 17, 2014",02/17/2014
07/12/2062,2062-12-07
2006-03-26,03/26/2006
"February 02, 1936",1936-02-02
14/02/1923,"February 14, 1923"
2058-03-01,03/01/2058
01/06/2054,06/01/2054
06/11/2024,"June 11, 2024"
30/01/1969,1969-01-30
25/12/1900,12/25/1900
09/01/2034,01/09/2034
12/27/2035,2035-12-27
11/16/1904,1904-11-16
1998-10-19,"October 19, 1998"
"September 05, 1908",1908-09-05
1931-10-13,10/13/1931
17/11/2099,2099-11-17
1958-05-06,05/06/1958
"November 05, 2075",2075-11-05
"April 16, 2022",04/16/2022
08/23/2089,2089-08-23
13/11/2012,"November 13, 2012"
08/22/1946,22/08/1946
"December 19, 1908",1908-12-19
03/01/2079,2079-03-01
2028-11-26,26/11/2028
03/01/2010,01/03/2010
"June 07, 1947",07/06/1947
"October 04, 1906",10/04/1906
03/12/2053,2053-12-03
02/11/1976,11/02/1976
1958-01-09,"January 09, 1958"
"July 18, 2037",2037-07-18
12/27/1981,1981-12-27
"August 03, 1965",08/03/1965
04/09/1946,"April 09, 1946"
"August 03, 2027",08/03/2027
08/07/1994,1994-07-08
"June 30, 2065",06/30/2065
25/05/1903,1903-05-25
"July 22, 1997",22/07/1997
08/17/1918,"August 17, 1918"
2079-11-10,"November 10, 2079"
1951-04-23,23/04/1951
06/10/2021,10/06/2021
30/09/2017,09/30/2017
07/15/2072,15/07/2072
27/06/1974,"June 27, 1974"
22/09/1968,"September 22, 1968"
19/05/1901,1901-05-19
04/03/1920,"March 04, 1920"
29/09/2091,"September 29, 2091"
08/02/2077,02/08/2077
05/09/2048,"September 05, 2048"
2078-12-26,12/26/2078
01/07/1905,07/01/1905
07/02/1935,"July 02, 1935"
12/20/1977,20/12/1977
2027-12-30,30/12/2027
03/12/2014,12/03/2014
27/12/2087,12/27/2087
09/13/2035,"September 13, 2035"
10/10/2066,2066-10-10
12/04/2065,04/12/2065
12/26/1912,1912-12-26
29/09/1996,1996-09-29
1996-06-05,06/05/1996
04/30/2014,2014-04-30
1927-11-14,"November 14, 1927"
"September 16, 2002",2002-09-16
01/06/1911,"June 01, 1911"
1975-08-03,03/08/1975
10/06/1942,06/10/1942
"May 17, 1929",05/17/1929
"May 19, 1940",05/19/1940
2066-02-15,02/15/2066
1985-04-08,08/04/1985
01/02/2009,2009-02-01
"October 18, 1962",10/18/1962
2035-08-13,13/08/2035
"July 06, 2086",07/06/2086
04/09/2010,"April 09, 2010"
1949-04-29,"April 29, 1949"
"June 18, 1915",18/06/1915
26/06/1940,"June 26, 1940"
11/10/1923,10/11/1923
24/11/2060,11/24/2060
01/13/1979,"January 13, 1979"
1908-05-22,22/05/1908
12/05/1951,1951-12-05
10/25/1972,"October 25, 1972"
1992-11-28,"November 28, 1992"
2042-07-24,07/24/2042
22/02/1920,"February 22, 1920"
16/05/2029,"May 16, 2029"
14/08/1983,1983-08-14
2021-07-01,07/01/2021
21/11/1974,1974-11-21
14/07/1950,"July 14, 1950"
10/08/1965,1965-08-10
11/02/2077,2077-02-11
13/09/1911,1911-09-13
11/28/1918,28/11/1918
07/23/1937,1937-07-23
1912-04-07,"April 07, 1912"
26/03/2035,2035-03-26
04/16/2062,2062-04-16
07/05/2050,"July 05, 2050"
18/02/1951,1951-02-18
09/04/1996,04/09/1996
2097-11-13,"November 13, 2097"
11/04/1965,04/11/1965
09/03/2047,"September 03, 2047"
15/03/2001,"March 15, 2001"
"December 03, 1975",1975-12-03
09/12/2058,"September 12, 2058"
10/17/1935,1935-10-17
2061-10-23,"October 23, 2061"
11/24/2047,"November 24, 2047"
"March 11, 1972",11/03/1972
01/01/1986,01/01/1986
23/01/1972,"January 23, 1972"
04/21/1938,21/04/1938
1948-08-17,17/08/1948
"August 21, 1920",1920-08-21
"May 08, 1960",1960-05-08
21/05/2087,"May 21, 2087"
"January 08, 1952",01/08/1952
1902-10-26,10/26/1902
09/05/1984,"May 09, 1984"
1987-04-15,04/15/1987
01/27/2038,27/01/2038
2048-07-31,31/07/2048
23/09/1960,"September 23, 1960"
07/25/2072,"July 25, 2072"
02/03/2046,"February 03, 2046"
"June 18, 2061",18/06/2061
1991-10-25,"October 25, 1991"
1971-02-05,02/05/1971
"March 14, 1938",03/14/1938
"June 23, 2027",2027-06-23
01/15/1996,15/01/1996
06/04/2029,"June 04, 2029"
11/03/1939,03/11/1939
2072-02-12,"February 12, 2072"
1984-04-27,"April 27, 1984"
08/17/1965,17/08/1965
2022-06-10,06/10/2022
04/22/2087,"April 22, 2087"
1928-07-12,07/12/1928
1955-04-21,"April 21, 1955"
17/08/2080,"August 17, 2080"
01/15/2085,2085-01-15
03/09/1959,"September 03, 1959"
18/01/1956,1956-01-18
2053-03-04,04/03/2053
10/09/2014,09/10/2014
03/09/1920,"September 03, 1920"
1928-12-30,30/12/1928
"September 04, 2003",09/04/2003
1933-08-03,03/08/1933
30/10/1926,"October 30, 1926"
11/06/1907,"June 11, 1907"
04/08/2037,2037-04-08
"July 19, 1944",1944-07-19
18/07/1976,07/18/1976
"July 10, 1982",07/10/1982
11/12/2024,"November 12, 2024"
04/27/2021,2021-04-27
"June 01, 1982",01/06/1982
11/12/2030,2030-12-11
"October 19, 2054",19/10/2054
"September 22, 1991",22/09/1991
21/10/2033,2033-10-21
07/19/1937,19/07/1937
"October 16, 2010",16/10/2010
20/02/1939,02/20/1939
20/04/1958,04/20/1958
12/21/1961,"December 21, 1961"
05/01/2028,2028-05-01
03/07/1937,07/03/1937
"July 11, 1944",1944-07-11
04/06/2036,"June 04, 2036"
26/06/2072,2072-06-26
06/18/1942,18/06/1942
01/09/1908,1908-01-09
21/04/1930,04/21/1930
2000-07-03,03/07/2000
1940-09-29,09/29/1940
"November 30, 1948",11/30/1948
21/07/1955,07/21/1955
1911-08-24,24/08/1911
19/11/1950,1950-11-19
2024-10-04,04/10/2024
1967-06-28,06/28/1967
25/04/2044,04/25/2044
05/04/2020,"April 05, 2020"
01/08/2055,"January 08, 2055"
1982-03-28,28/03/1982
"February 23, 1903",02/23/1903
13/03/2001,"March 13, 2001"
"January 08, 1935",08/01/1935
05/30/2057,2057-05-30
"June 25, 2048",2048-06-25
13/10/2083,"October 13, 2083"
12/16/2056,"December 16, 2056"
28/03/1938,03/28/1938
03/03/1931,1931-03-03
01/16/2060,2060-01-16
"August 07, 1921",1921-08-07
1950-12-18,"December 18, 1950"
05/07/1987,"May 07, 1987"
"March 14, 2073",03/14/2073
1908-12-01,12/01/1908
07/12/2054,2054-07-12
01/10/1922,1922-01-10
"May 30, 2099",30/05/2099
1961-12-07,07/12/1961
"February 14, 1935",02/14/1935
"February 27, 1901",27/02/1901
03/01/2090,2090-01-03
1953-02-18,18/02/1953
04/22/2044,2044-04-22
02/11/1908,"February 11, 1908"
12/24/2002,2002-12-24
"September 27, 2070",2070-09-27
04/08/1982,08/04/1982
12/07/1940,07/12/1940
2014-01-05,05/01/2014
14/01/2094,"January 14, 2094"
1997-12-17,12/17/1997
09/24/1995,24/09/1995
10/10/2099,10/10/2099
28/11/1936,11/28/1936
"April 30, 1989",30/04/1989
12/10/1941,"October 12, 1941"
2009-11-16,11/16/2009
19/10/1949,10/19/1949
2009-01-31,"January 31, 2009"
2087-03-31,31/03/2087
10/29/2026,29/10/2026
09/11/2049,"November 09, 2049"
07/07/1985,"July 07, 1985"
1958-04-21,04/21/1958
02/18/1956,18/02/1956
27/11/2046,"November 27, 2046"
"February 04, 1977",1977-02-04
"March 14, 2078",03/14/2078
10/19/2025,"October 19, 2025"
"December 04, 2040",12/04/2040
11/19/1975,19/11/1975
2069-11-28,28/11/2069
"January 16, 2013",2013-01-16
09/02/2000,2000-09-02
06/11/1952,1952-06-11
"June 05, 1990",06/05/1990
"January 31, 1902",01/31/1902
08/06/1928,06/08/1928
03/07/1966,1966-07-03
07/08/2093,08/07/2093
"June 01, 2085",2085-06-01
05/20/1914,1914-05-20
"May 09, 2041",05/09/2041
2045-10-01,"October 01, 2045"
11/11/2004,"November 11, 2004"
15/10/1978,1978-10-15
21/05/2063,05/21/2063
05/14/1944,1944-05-14
2029-06-29,06/29/2029
03/03/1947,1947-03-03
2063-05-26,26/05/2063
08/09/1994,09/08/1994
2010-03-06,03/06/2010
27/01/1959,01/27/1959
31/01/2083,2083-01-31
09/05/2023,2023-05-09
"February 25, 1968",25/02/1968
01/10/2009,10/01/2009
"July 08, 2058",08/07/2058
1957-02-12,"February 12, 1957"
"October 26, 1904",10/26/1904
05/16/2034,"May 16, 2034"
25/04/2074,04/25/2074
26/11/1989,"November 26, 1989"
2090-12-16,"December 16, 2090"
17/02/1945,02/17/1945
07/06/2003,06/07/2003
08/24/2044,24/08/2044
05/08/1934,08/05/1934
"August 22, 2002",2002-08-22
2018-07-27,"July 27, 2018"
2052-11-08,08/11/2052
16/05/1984,1984-05-16
10/01/1979,"October 01, 1979"
"April 12, 1993",12/04/1993
1951-10-05,"October 05, 1951"
11/03/1905,"March 11, 1905"
