input,output
02.01.2096,2096-01-02
07.04.1956,07/04/1956
02.17.1932,17-02-1932
1986/11/21,21-11-1986
07/05/2000,2000-05-07
03/18/2060,03.18.2060
11.14.1957,1957.11.14
06.17.1911,1911/06/17
1980-02-26,"February 26, 1980"
22-07-1983,22/07/1983
1957.02.06,06-02-1957
10/25/1991,25.10.1991
07/03/2039,2039-07-03
2015/06/21,06.21.2015
1951-09-25,25.09.1951
2070.01.22,01.22.2070
1976-02-21,21-02-1976
01/02/1990,02/01/1990
2047.07.05,2047-07-05
10-06-2016,10.06.2016
30-11-1914,1914.11.30
20-11-2081,20.11.2081
2056.11.26,26-11-2056
"November 22, 1903",11.22.1903
05.05.1922,"May 05, 1922"
1912/03/19,03.19.1912
05.25.2071,25-05-2071
1969-12-12,12.12.1969
12/08/2025,08-12-2025
"September 24, 1966",24.09.1966
01.21.1902,21.01.1902
23-09-1991,09.23.1991
1906-08-02,08.02.1906
16/11/1936,1936.11.16
20/02/2005,2005.02.20
31/08/1908,31-08-1908
18/05/1925,1925-05-18
"September 06, 1967",1967/09/06
"July 26, 2036",2036-07-26
25.11.1914,11.25.1914
11/24/1932,1932.11.24
1934/02/01,1934.02.01
"May 05, 1900",05.05.1900
09/10/1959,1959.09.10
"July 02, 1909",07/02/1909
15-01-2001,2001.01.15
03/15/1905,15.03.1905
11/14/1975,1975/11/14
24/04/2060,24-04-2060
2048/02/12,12/02/2048
01.24.1960,1960/01/24
19.03.2064,03/19/2064
"January 18, 2094",2094.01.18
09.01.1969,1969.01.09
23/08/2095,08/23/2095
26/08/1928,1928/08/26
04.16.2000,2000/04/16
09.18.2076,2076/09/18
1997/11/27,27-11-1997
2082-01-12,12-01-2082
15.09.1968,1968.09.15
2030-02-26,2030.02.26
"September 29, 2078",09.29.2078
06.15.2078,15.06.2078
"April 18, 1906",1906.04.18
"January 08, 2032",01/08/2032
13-08-2033,08/13/2033
"May 20, 1987",05.20.1987
2093/01/23,01.23.2093
01/14/2056,14-01-2056
12-06-1934,1934/06/12
12/12/1969,12/12/1969
20/10/1970,1970-10-20
1900-12-07,1900.12.07
11-09-1979,11.09.1979
2039/01/13,"January 13, 2039"
21-02-2021,21.02.2021
1942/11/30,11.30.1942
"July 27, 1951",07/27/1951
14/10/1902,10.14.1902
04.03.1979,1979-04-03
06/15/1984,1984/06/15
2075.12.05,05.12.2075
20-08-1940,1940/08/20
"May 20, 2022",05.20.2022
2012/05/09,09.05.2012
10/29/1958,29.10.1958
1957/04/11,04/11/1957
23-06-1934,23.06.1934
1976-05-10,10-05-1976
06.24.1953,"June 24, 1953"
2061/01/07,07.01.2061
15/05/2030,"May 15, 2030"
24.04.2032,2032/04/24
06.01.1922,01-06-1922
1957/03/15,1957.03.15
07-09-1925,07/09/1925
14-01-1916,1916-01-14
12/17/1944,1944.12.17
07.20.1977,20.07.1977
16/06/2080,2080.06.16
07.12.1994,1994-07-12
03.01.2057,2057/01/03
1999-08-21,"August 21, 1999"
"June 26, 1910",1910.06.26
09-05-2051,09.05.2051
06/08/1911,08-06-1911
08-04-1977,08.04.1977
28.10.2028,2028.10.28
"June 29, 1920",06/29/1920
28.11.2040,11/28/2040
"September 18, 2048",18-09-2048
1900.10.29,1900/10/29
01-06-1951,01.06.1951
2023.10.04,2023/10/04
23-03-2041,2041.03.23
17-02-2006,2006.02.17
1915.12.05,"December 05, 1915"
1950/03/09,03.09.1950
"January 05, 2046",05.01.2046
02.12.1969,02-12-1969
13.02.2074,2074/02/13
05/04/2021,"April 05, 2021"
06/07/2053,07.06.2053
"February 15, 1925",15/02/1925
23/12/1938,1938.12.23
01.23.2097,23-01-2097
2019-10-20,"October 20, 2019"
"September 23, 1974",1974/09/23
15.02.2068,02.15.2068
1907.01.06,1907/01/06
08/12/1975,08.12.1975
13.11.1969,"November 13, 1969"
08.15.1934,"August 15, 1934"
"October 25, 2038",10.25.2038
05/07/2050,2050-05-07
08.14.1905,1905/08/14
1917.10.07,07-10-1917
2025-06-24,"June 24, 2025"
03/05/1920,05/03/1920
2089-05-12,2089/05/12
1994.12.01,1994/12/01
"September 04, 2015",09.04.2015
"September 04, 1946",1946.09.04
15/06/1945,06/15/1945
2064.06.08,2064/06/08
1977-06-23,"June 23, 1977"
22.05.2056,05.22.2056
31.08.1935,"August 31, 1935"
"May 09, 1950",09-05-1950
"January 21, 1932",21.01.1932
07.21.1932,21/07/1932
22/05/2087,2087.05.22
1942-12-08,1942/12/08
01/20/2068,"January 20, 2068"
24-12-2069,12/24/2069
12/11/1956,1956-12-11
"December 04, 1943",1943.12.04
1923/12/23,12.23.1923
04/21/2079,"April 21, 2079"
06.25.1908,25.06.1908
17.04.1905,1905.04.17
29/04/1921,29.04.1921
08/05/2031,2031-05-08
2075-08-19,08/19/2075
"July 17, 2096",07.17.2096
12.23.1982,1982.12.23
17/10/1972,1972-10-17
2034-09-02,02/09/2034
1940/10/27,27-10-1940
19/03/2039,19-03-2039
"August 07, 1987",08.07.1987
2003.12.22,"December 22, 2003"
14/11/1946,11/14/1946
1916.03.29,29.03.1916
1975.08.08,1975-08-08
22/02/1953,"February 22, 1953"
2093.06.05,2093/06/05
2041.12.18,18/12/2041
15/05/2017,2017-05-15
"October 16, 1935",10.16.1935
18-05-1978,1978/05/18
06.09.2089,2089-06-09
"September 11, 1938",1938-09-11
2065/03/13,2065.03.13
28-01-1968,28.01.1968
08/01/2040,2040.01.08
07.01.2041,01.07.2041
06.01.2054,2054/01/06
04.25.1951,1951/04/25
"December 13, 2028",2028.12.13
17.11.1902,"November 17, 1902"
1905/01/12,12-01-1905
"February 01, 2023",02.01.2023
1989.11.25,11.25.1989
12.02.2045,12-02-2045
04.05.2074,04/05/2074
"September 24, 1927",24/09/1927
1969/06/18,1969.06.18
08.25.1979,1979/08/25
2080/11/29,29/11/2080
2001/03/09,2001-03-09
23/08/1909,08.23.1909
17.05.1920,1920/05/17
1994-11-26,26-11-1994
1905-05-03,03.05.1905
12.01.1996,1996-12-01
28.11.2034,2034-11-28
10/20/1998,20/10/1998
1957/07/05,07/05/1957
05.14.2053,05/14/2053
12.02.2059,12/02/2059
02.23.2023,2023.02.23
01.08.1916,"August 01, 1916"
10/12/1913,1913-12-10
19/07/2044,07.19.2044
01.06.1915,1915.01.06
02/20/1989,20/02/1989
"February 04, 1987",04.02.1987
"August 07, 1960",07-08-1960
02.19.1944,1944/02/19
"July 15, 1992",15/07/1992
18-12-1936,1936/12/18
16.10.1955,10/16/1955
19-09-2090,19/09/2090
17/10/1990,"October 17, 1990"
07.09.2061,2061.09.07
02-02-2039,2039.02.02
1972.02.12,1972/02/12
19.01.1978,1978-01-19
17/06/1920,1920-06-17
26-07-1941,1941.07.26
1988/12/28,"December 28, 1988"
01-08-1987,01.08.1987
1904-07-26,26.07.1904
29.11.1994,1994/11/29
18.02.1955,1955-02-18
05/07/2078,05.07.2078
2039/11/21,11.21.2039
"June 07, 1970",1970.06.07
31-10-2023,31/10/2023
09/28/2037,28/09/2037
08/29/2004,2004-08-29
06/23/2079,"June 23, 2079"
02.12.2080,02/12/2080
"October 15, 1945",15/10/1945
06.06.2095,06/06/2095
2045-12-07,12/07/2045
08/10/1997,1997-08-10
17/09/1974,09/17/1974
02-03-2012,03.02.2012
13.12.1928,1928.12.13
2043.10.10,10/10/2043
01.14.1937,"January 14, 1937"
2017/05/01,01-05-2017
1958-07-07,07/07/1958
15.09.1961,"September 15, 1961"
1936/04/25,04/25/1936
2071-04-04,04-04-2071
14-09-1963,09.14.1963
"July 17, 2014",07/17/2014
09.09.1974,"September 09, 1974"
2068-12-12,12.12.2068
2037.04.28,2037-04-28
2042/03/08,"March 08, 2042"
21-09-2016,21.09.2016
2075.03.28,"March 28, 2075"
09/22/2062,09.22.2062
09.10.1903,09/10/1903
22/06/2025,22.06.2025
"April 29, 1987",04/29/1987
06.03.1997,03/06/1997
2067-03-31,31-03-2067
14-09-1906,1906-09-14
2091-06-26,26-06-2091
14-12-2026,"December 14, 2026"
05/20/1980,20/05/1980
01/27/2096,2096-01-27
"June 11, 1988",1988/06/11
11.26.2079,2079-11-26
2000.01.29,29/01/2000
1951-12-14,12/14/1951
04/12/2088,12-04-2088
10.18.1944,18.10.1944
11/05/2011,2011/11/05
09/11/1920,1920.09.11
11-07-1915,1915-07-11
07.14.2025,2025.07.14
03.31.2061,"March 31, 2061"
2090-03-12,03/12/2090
"February 27, 2023",27/02/2023
17-05-1945,17.05.1945
17/01/2093,2093.01.17
17.02.1988,1988.02.17
"May 17, 1949",17-05-1949
2025-11-11,"November 11, 2025"
1989.04.06,1989/04/06
"August 21, 2003",21-08-2003
2054-04-23,2054/04/23
08-04-2044,2044.04.08
14.04.2019,2019/04/14
01/25/1926,1926/01/25
26.09.1970,1970-09-26
1984/03/30,"March 30, 1984"
02.07.2042,07/02/2042
25.07.1969,1969.07.25
17.02.2039,"February 17, 2039"
1906/01/04,01/04/1906
29.03.2069,03.29.2069
18/07/2011,"July 18, 2011"
06.04.2073,04.06.2073
1968/02/13,13.02.1968
"March 26, 1980",1980-03-26
1993-06-25,25.06.1993
30.05.2060,30-05-2060
05/04/2084,04.05.2084
2042/04/12,04/12/2042
1955-08-02,02/08/1955
1930/09/22,22/09/1930
07.25.1920,1920-07-25
12.11.1988,12-11-1988
1972.08.07,"August 07, 1972"
1920-06-02,06/02/1920
25/11/2057,25.11.2057
12/19/2084,19.12.2084
1941/05/01,05.01.1941
01.30.1901,1901/01/30
"January 05, 2031",2031-01-05
24/12/2036,2036/12/24
11.09.2042,2042/09/11
1942/02/05,05-02-1942
2066.12.20,20.12.2066
03.15.1999,15/03/1999
1988/08/21,1988.08.21
26/09/1918,"September 26, 1918"
1983.11.28,28/11/1983
09.04.1997,"September 04, 1997"
2005/08/23,23/08/2005
"May 24, 1951",24-05-1951
02/18/1938,1938/02/18
1993-06-21,06.21.1993
10.22.1937,10/22/1937
2013-10-26,26.10.2013
1951-03-02,02-03-1951
03.07.1966,07-03-1966
1958.03.16,16-03-1958
2046/06/06,2046-06-06
2023/05/12,"May 12, 2023"
30/11/1983,"November 30, 1983"
2052-09-10,2052/09/10
2068/09/17,2068-09-17
19-06-2038,06/19/2038
07.29.1945,29-07-1945
13-05-1942,05.13.1942
24/03/2066,2066.03.24
22.04.1945,"April 22, 1945"
28/10/2001,2001/10/28
27.07.1949,1949.07.27
05/30/2056,30/05/2056
09/25/1924,25.09.1924
03.11.1955,11.03.1955
04/05/1991,1991-04-05
2070/04/14,14-04-2070
19/08/2028,08/19/2028
16-06-1982,"June 16, 1982"
2065.08.03,03-08-2065
20-10-1908,10/20/1908
02/13/1939,1939/02/13
"June 28, 1944",06/28/1944
"August 25, 2073",08.25.2073
2002/08/15,08.15.2002
2062.12.29,12.29.2062
29.01.1960,1960.01.29
23/06/1974,06.23.1974
29.09.1976,29-09-1976
01.05.2025,2025-01-05
1969.07.08,1969/07/08
1972-08-16,16.08.1972
05.06.1958,06/05/1958
02/06/1977,1977.02.06
1920/08/30,30/08/1920
2085/04/07,07.04.2085
03/23/2069,2069/03/23
2084/02/11,02/11/2084
"June 20, 1942",1942-06-20
1950/04/15,04/15/1950
02/03/1926,"February 03, 1926"
10/19/2003,2003.10.19
2053-12-29,2053.12.29
"July 03, 2070",07/03/2070
1979.08.11,11/08/1979
1985-03-10,10-03-1985
1966-05-06,06/05/1966
17.07.1967,07.17.1967
1902-11-21,21.11.1902
1938/12/20,20-12-1938
2020-07-07,2020.07.07
26-07-1976,26/07/1976
04.26.1983,"April 26, 1983"
1907.02.07,1907/02/07
27/11/1918,27-11-1918
1941/04/21,1941-04-21
10/31/1957,31.10.1957
"November 13, 2039",11/13/2039
2013/06/10,10/06/2013
2041/03/07,2041-03-07
1924.03.04,04-03-1924
13.10.2028,"October 13, 2028"
29.01.1950,29-01-1950
10/12/1977,"October 12, 1977"
04-02-1999,02.04.1999
21/05/2009,05.21.2009
"October 05, 2044",10.05.2044
23.03.2059,2059.03.23
"November 02, 1968",11.02.1968
22/05/2008,05.22.2008
22/05/1960,22.05.1960
1942/09/18,18/09/1942
26-10-1971,1971.10.26
09/18/1958,"September 18, 1958"
2063.03.06,03.06.2063
1935.07.28,1935/07/28
"May 23, 1999",23/05/1999
12.13.2085,13.12.2085
2027.06.13,13.06.2027
1950.03.06,1950-03-06
"May 11, 1938",11-05-1938
28-10-2083,28.10.2083
07.07.2074,07/07/2074
1941/01/18,1941.01.18
03-06-1941,03.06.1941
17/03/1950,03/17/1950
"March 20, 2056",2056/03/20
30.07.2074,30-07-2074
2032-02-03,2032.02.03
1913-02-09,02.09.1913
16/01/1963,01.16.1963
27-05-1950,1950/05/27
01/12/2077,2077-12-01
05/12/2099,2099.12.05
1904-09-04,04.09.1904
"May 17, 2055",17/05/2055
1938.07.12,"July 12, 1938"
2054.05.19,19-05-2054
1923.05.20,"May 20, 1923"
05/27/2027,2027.05.27
2006-06-30,30-06-2006
17/01/1938,1938.01.17
25/05/1905,05/25/1905
"July 06, 1985",1985-07-06
09/19/1996,19-09-1996
24/06/2007,06.24.2007
08-03-1991,08.03.1991
13.03.1922,1922.03.13
18-07-1963,07/18/1963
03.10.2030,2030-03-10
1906-03-11,11-03-1906
01/03/1965,1965/01/03
"February 20, 1913",20.02.1913
09/23/2059,2059-09-23
1992-02-10,"February 10, 1992"
1994/04/23,23/04/1994
11.19.2067,2067.11.19
21.03.1953,1953.03.21
1998/09/18,09/18/1998
09/16/2059,2059.09.16
1953/01/04,04/01/1953
"September 15, 1960",09.15.1960
1981/09/01,01/09/1981
19/07/2000,19.07.2000
1972-08-04,04.08.1972
01/19/2000,2000/01/19
07/26/2085,2085.07.26
"August 18, 2028",08.18.2028
2006/07/15,07.15.2006
10.25.1915,25-10-1915
1941.11.04,04.11.1941
18/04/2054,2054-04-18
19-11-2060,19/11/2060
03-01-2089,03/01/2089
12.08.2067,2067-08-12
11/29/2029,2029-11-29
25.03.2001,2001.03.25
28.05.2086,05/28/2086
"January 06, 2013",06/01/2013
17-11-2058,11/17/2058
1985-11-03,03/11/1985
19/10/1973,10/19/1973
05.07.2025,07.05.2025
24.02.1935,1935/02/24
"August 23, 1930",23/08/1930
27-08-1935,27.08.1935
10-11-2080,11.10.2080
1970/08/09,08/09/1970
1977.07.03,1977/07/03
09/12/1908,09.12.1908
22-05-1942,22.05.1942
25-04-1993,25.04.1993
1990.12.06,06/12/1990
"October 04, 2030",10/04/2030
10/01/2066,01.10.2066
08/12/2045,2045/08/12
03.12.2097,12/03/2097
03/07/2081,07/03/2081
"June 26, 2068",2068.06.26
16-01-1934,16/01/1934
2093-09-27,09/27/2093
12.01.2031,01.12.2031
1935.03.10,03.10.1935
1940.12.07,07.12.1940
06.26.1981,26/06/1981
05/04/2074,05.04.2074
"May 14, 1988",14-05-1988
09/20/1954,1954-09-20
03.30.1915,"March 30, 1915"
1944/11/16,"November 16, 1944"
1961/02/02,1961-02-02
"December 24, 1969",1969-12-24
01.06.1944,1944/01/06
09/01/2099,"January 09, 2099"
06-12-2001,12/06/2001
06/11/1962,"November 06, 1962"
1942/01/30,30/01/1942
05.07.2058,"July 05, 2058"
1983.03.29,29-03-1983
"March 02, 1913",02-03-1913
10.07.2066,10/07/2066
2081.11.29,"November 29, 2081"
1939-03-03,03/03/1939
06/01/2049,2049-06-01
20.08.1958,20-08-1958
1994/06/18,18.06.1994
2086.08.16,16-08-2086
"April 06, 1953",06-04-1953
11.11.1913,1913.11.11
11/11/2093,11.11.2093
04/01/1949,1949.04.01
03-10-1920,"October 03, 1920"
06/05/1990,06-05-1990
24/10/2064,2064-10-24
16/08/2016,08.16.2016
26/02/2075,02/26/2075
"January 04, 2085",2085-01-04
28.10.2010,2010-10-28
1936/06/22,22.06.1936
2013.07.02,02.07.2013
2076.07.28,07.28.2076
2054/02/26,2054-02-26
"January 22, 2030",2030-01-22
15/01/2056,15.01.2056
2096.09.02,09/02/2096
1906-01-22,22-01-1906
1949.12.16,16.12.1949
07.01.2098,2098/01/07
21-10-1984,1984.10.21
29.07.1928,29-07-1928
09.09.2021,2021.09.09
"March 30, 2038",2038-03-30
1985/07/09,07/09/1985
2002.03.14,"March 14, 2002"
02-04-1969,04.02.1969
03.21.1971,21.03.1971
2090/02/11,11-02-2090
2003/03/20,03.20.2003
13-02-2005,"February 13, 2005"
30/09/2070,09.30.2070
16/11/1931,1931.11.16
10.28.2024,10/28/2024
20/01/2086,2086-01-20
08/08/2050,08.08.2050
2072/01/12,"January 12, 2072"
"August 16, 1975",16.08.1975
18.10.2033,"October 18, 2033"
29/12/1943,12.29.1943
22-03-2034,03.22.2034
03/31/2069,2069.03.31
09/24/1915,1915.09.24
"December 02, 1920",1920-12-02
09.03.1912,1912.03.09
19.08.1987,19-08-1987
29-08-1972,29/08/1972
"November 15, 2068",11/15/2068
1965-12-09,1965/12/09
22-12-2079,22/12/2079
1978.12.23,23.12.1978
"August 30, 2006",30-08-2006
02-04-2066,2066-04-02
2014.05.03,2014-05-03
"December 16, 1921",12.16.1921
20/12/2012,2012/12/20
2027.05.04,2027-05-04
1986-12-29,29.12.1986
04-11-1952,"November 04, 1952"
26.07.2038,2038.07.26
1910.04.29,29/04/1910
10/07/1930,07/10/1930
06.02.1997,1997-06-02
2031-10-31,"October 31, 2031"
"November 27, 1961",1961/11/27
31-07-1933,07.31.1933
17.09.1902,1902.09.17
14.07.1960,"July 14, 1960"
23.12.1972,1972.12.23
1925/08/12,08/12/1925
16/12/1903,1903.12.16
14/04/1980,1980-04-14
05/10/2038,2038-10-05
15/04/1981,1981/04/15
04.10.1964,1964/10/04
2046/11/20,11/20/2046
10.23.1925,23.10.1925
"March 14, 2088",2088/03/14
1961.06.27,27-06-1961
14.09.2076,14/09/2076
30/01/2090,2090-01-30
2010.10.01,2010/10/01
1933.10.26,26-10-1933
2078-01-17,17.01.2078
"May 11, 2096",11-05-2096
"September 25, 2076",25/09/2076
31/07/1990,31.07.1990
31/05/2083,05.31.2083
11-03-1915,03.11.1915
2097-08-19,2097/08/19
"November 23, 1978",23/11/1978
05-10-2059,10.05.2059
2030/12/19,19.12.2030
2098.08.14,2098-08-14
06/21/2078,2078/06/21
2012/06/25,"June 25, 2012"
1924/02/17,17.02.1924
1994.09.27,09.27.1994
02-01-1942,01/02/1942
"December 26, 2033",26-12-2033
29/01/1905,1905.01.29
05.01.2080,05/01/2080
1976/06/09,"June 09, 1976"
2038.07.28,28.07.2038
03/14/1901,1901.03.14
1905/12/30,12.30.1905
31.01.1962,31-01-1962
06/27/2049,"June 27, 2049"
2097.04.17,17/04/2097
1969.03.22,03/22/1969
16.02.2043,16/02/2043
1938-11-29,"November 29, 1938"
"December 09, 1931",09/12/1931
09.27.1967,27.09.1967
07/05/2070,2070/07/05
19.10.2060,19-10-2060
05/21/2089,2089-05-21
"August 17, 1987",08/17/1987
"March 01, 1969",01.03.1969
05.26.1963,26/05/1963
23/09/1988,1988.09.23
1927.10.20,10.20.1927
1999/04/02,02-04-1999
12.28.2003,2003/12/28
08.07.1903,"July 08, 1903"
"March 26, 2042",26/03/2042
21/01/1961,"January 21, 1961"
2024-08-14,14.08.2024
1998.04.24,24/04/1998
07.10.1908,10/07/1908
07/13/1957,13.07.1957
1977.11.18,11.18.1977
10.22.2032,22/10/2032
02.20.1917,20.02.1917
10-05-1923,"May 10, 1923"
12/21/2060,21.12.2060
01.12.2026,2026/12/01
1934-04-15,15-04-1934
06/04/1969,1969/04/06
01/29/2011,2011/01/29
11.08.2097,"November 08, 2097"
18-12-1907,18/12/1907
31.03.1910,"March 31, 1910"
03/02/1996,02-03-1996
06.01.1906,1906.01.06
01.22.2098,"January 22, 2098"
22-05-2031,"May 22, 2031"
31-01-2044,31/01/2044
1968.02.11,11/02/1968
17/02/2058,02/17/2058
12/03/2086,12.03.2086
01.01.2008,01.01.2008
2081/06/01,01/06/2081
1961.12.22,12.22.1961
30-08-1904,"August 30, 1904"
1970-11-01,1970/11/01
19.12.1978,19-12-1978
1963/02/08,08/02/1963
21/11/2050,21-11-2050
1965.08.15,08.15.1965
"October 21, 2017",21-10-2017
1910.08.09,09.08.1910
2010-02-01,01-02-2010
10/21/2009,10.21.2009
18/07/1985,1985/07/18
10/06/2074,10.06.2074
26.02.1950,26-02-1950
1935.10.11,1935-10-11
07.06.1998,06.07.1998
1948/11/22,22/11/1948
09.16.1974,1974/09/16
24-12-1925,12/24/1925
06-02-2011,06/02/2011
08.04.1920,1920.08.04
1922/04/16,16-04-1922
04-10-2071,"October 04, 2071"
08.01.1941,1941.01.08
08/01/1963,01-08-1963
12.12.2080,12-12-2080
01/04/1912,04/01/1912
02.09.2049,2049-09-02
01.18.1995,18-01-1995
2077.03.02,03.02.2077
1980-04-15,15/04/1980
04.17.1985,1985.04.17
09.24.1922,1922-09-24
02/12/2028,12.02.2028
02.17.1915,1915-02-17
25-08-1933,1933/08/25
1998-10-23,10/23/1998
2089/02/16,16.02.2089
2055-04-08,04.08.2055
30-10-1943,1943.10.30
1984.08.07,07-08-1984
12.14.1977,1977/12/14
"May 01, 1956",1956-05-01
16.10.2068,10/16/2068
07.05.1930,05/07/1930
24-01-2058,01.24.2058
2062.08.31,31-08-2062
10-08-1905,10.08.1905
10.18.2024,"October 18, 2024"
"September 13, 1907",09.13.1907
31.12.1924,1924/12/31
2029/11/29,2029.11.29
"July 24, 2018",24/07/2018
11.12.1982,11/12/1982
2018.05.15,15/05/2018
23/12/2026,12.23.2026
01.07.2064,2064.07.01
1902/04/26,1902.04.26
03/09/1910,1910.03.09
19.10.1973,19-10-1973
1923.06.16,"June 16, 1923"
20.08.1987,08/20/1987
1961-02-17,17/02/1961
2018.05.20,"May 20, 2018"
1942.04.12,04.12.1942
15.09.2042,09/15/2042
"September 09, 1980",1980-09-09
12.05.1956,12-05-1956
25-09-1904,1904.09.25
07.17.1913,"July 17, 1913"
01/06/2035,01.06.2035
2007.05.07,07/05/2007
16.02.1913,"February 16, 1913"
10-06-1955,10.06.1955
16-08-1967,08/16/1967
02-12-2002,"December 02, 2002"
"August 02, 1978",1978.08.02
04/26/1970,1970/04/26
1999/06/22,"June 22, 1999"
27/09/2005,2005/09/27
05/10/1919,1919.05.10
20.11.1902,11/20/1902
01.26.1924,1924/01/26
10.08.1949,1949-10-08
2011-02-08,"February 08, 2011"
1988-05-12,12-05-1988
2094-04-25,25/04/2094
08/08/2069,"August 08, 2069"
10/24/1914,24/10/1914
14-11-1946,"November 14, 1946"
07/25/2057,25/07/2057
12.23.2030,2030.12.23
10.14.1930,1930.10.14
01/22/1918,1918.01.22
"June 26, 1962",26-06-1962
30-09-1984,1984.09.30
05/17/1934,1934/05/17
23.11.1948,1948.11.23
1902-07-17,07.17.1902
2032/08/17,08.17.2032
"November 30, 1961",1961.11.30
01-12-2015,12.01.2015
2028/07/04,2028.07.04
18-03-2050,2050-03-18
08.16.1928,16/08/1928
03/06/1950,03.06.1950
24-12-2030,2030/12/24
06-12-1903,06/12/1903
04.19.2081,19/04/2081
09-10-2072,09.10.2072
2049.08.20,20-08-2049
"September 29, 1973",09.29.1973
2061/04/06,2061.04.06
22/10/1919,1919.10.22
21-01-1993,21.01.1993
1953-12-10,10.12.1953
10.30.1955,1955.10.30
27.05.2001,2001/05/27
"January 14, 1932",1932-01-14
28-09-1938,1938.09.28
2084/01/09,09.01.2084
03/29/2068,29.03.2068
2051-09-17,"September 17, 2051"
22.04.1913,"April 22, 1913"
2081-01-11,2081.01.11
03.20.2075,2075.03.20
1941.03.07,07.03.1941
1992-06-24,24-06-1992
04/09/2092,09.04.2092
2061-09-25,2061.09.25
1964/12/19,19-12-1964
12.08.1954,1954.12.08
2019.03.27,2019-03-27
2039-06-16,2039/06/16
1987-11-26,26-11-1987
08.08.2062,2062.08.08
20-03-1976,"March 20, 1976"
1946/12/31,12/31/1946
2061/10/16,10/16/2061
12.23.1942,23-12-1942
26.04.1931,"April 26, 1931"
22-03-1910,03.22.1910
2043.05.04,2043/05/04
29.12.2056,12.29.2056
2013/05/08,08/05/2013
1909/05/28,05.28.1909
2036.11.19,"November 19, 2036"
28/05/2054,05/28/2054
08/20/2086,20.08.2086
11/11/1937,11-11-1937
16.09.2086,"September 16, 2086"
"February 22, 2031",22.02.2031
02.03.1979,02-03-1979
13.05.1910,05/13/1910
09/07/2073,"September 07, 2073"
20-11-2038,20/11/2038
2037.02.22,02/22/2037
10/29/1971,"October 29, 1971"
2089.09.30,"September 30, 2089"
11.23.2000,11/23/2000
1996-03-24,24/03/1996
20-03-2043,03.20.2043
1921-12-10,10.12.1921
01/09/2043,01.09.2043
23-09-1911,"September 23, 1911"
08.15.2017,2017.08.15
"May 30, 2010",2010/05/30
06/02/2061,"February 06, 2061"
"March 23, 2057",03/23/2057
20.05.2017,05/20/2017
1963/12/21,"December 21, 1963"
1981/04/07,07/04/1981
2012-10-15,10/15/2012
"June 02, 2061",06.02.2061
12.12.1947,1947/12/12
2038-05-18,18-05-2038
22.02.2091,2091/02/22
05.18.2096,"May 18, 2096"
10.06.2075,10/06/2075
11/09/2075,09/11/2075
1981/11/27,"November 27, 1981"
09/01/1929,1929-09-01
"October 28, 1923",28/10/1923
1989.05.05,05/05/1989
2033.10.25,2033/10/25
01-02-1908,02.01.1908
