input,output
2027-08-08,08/08/2027
05/11/2054,2054-05-11
1987-05-01,05/01/1987
11/05/1904,1904-05-11
04/03/1936,1936-03-04
01/10/2004,2004-01-10
2096-01-13,01/13/2096
2096-09-28,09/28/2096
2084-05-21,21/05/2084
2034-08-27,27/08/2034
1948-04-04,04/04/1948
2023-08-26,26/08/2023
1936-03-23,03/23/1936
06/12/2079,2079-12-06
2075-09-05,09/05/2075
04/19/2060,2060-04-19
15/01/2053,2053-01-15
2045-01-06,06/01/2045
04/03/1961,03/04/1961
18/02/2092,02/18/2092
07/15/1968,15/07/1968
2041-07-19,07/19/2041
03/10/2070,2070-10-03
1918-07-07,07/07/1918
08/09/1995,09/08/1995
20/11/2021,2021-11-20
12/31/2093,31/12/2093
2057-12-08,08/12/2057
10/08/2048,08/10/2048
02/08/2080,08/02/2080
04/14/2073,2073-04-14
2028-12-14,12/14/2028
02/20/2059,2059-02-20
09/14/1989,1989-09-14
2075-09-16,09/16/2075
12/02/2021,2021-12-02
1902-10-09,10/09/1902
09/03/2073,03/09/2073
02/13/2002,13/02/2002
1942-05-21,21/05/1942
02/16/1942,16/02/1942
11/08/2074,2074-08-11
2029-04-29,04/29/2029
08/21/1953,21/08/1953
2011-07-30,30/07/2011
12/06/1994,06/12/1994
1902-04-14,04/14/1902
03/24/1917,1917-03-24
2023-04-06,04/06/2023
11/05/1935,1935-05-11
04/05/1979,1979-04-05
28/09/1961,1961-09-28
08/29/1900,29/08/1900
06/08/2086,2086-08-06
27/11/2009,2009-11-27
2041-12-28,28/12/2041
01/08/1940,1940-01-08
08/17/1960,1960-08-17
1969-04-14,14/04/1969
08/27/1960,1960-08-27
1935-06-01,06/01/1935
10/09/1906,1906-09-10
10/12/2081,2081-10-12
09/13/1999,1999-09-13
07/12/2017,12/07/2017
2056-07-07,07/07/2056
2005-06-06,06/06/2005
03/11/1961,11/03/1961
09/10/1929,10/09/1929
01/10/2033,10/01/2033
12/09/1964,09/12/1964
30/08/1986,08/30/1986
02/15/2083,2083-02-15
11/12/2066,2066-11-12
09/20/1949,1949-09-20
28/02/2069,2069-02-28
29/06/1915,06/29/1915
1927-10-09,09/10/1927
28/09/1969,1969-09-28
1907-11-19,11/19/1907
1987-10-19,19/10/1987
11/09/1934,09/11/1934
1949-07-17,07/17/1949
01/26/2020,26/01/2020
04/29/2092,2092-04-29
2089-05-07,07/05/2089
20/03/1966,03/20/1966
07/06/1978,06/07/1978
2036-05-23,23/05/2036
08/04/2029,2029-08-04
20/12/2011,2011-12-20
2017-12-19,12/19/2017
31/01/1920,01/31/1920
03/26/2005,2005-03-26
1997-03-12,12/03/1997
05/30/2027,30/05/2027
1963-06-24,06/24/1963
29/01/2072,2072-01-29
19/05/1907,05/19/1907
17/10/2042,10/17/2042
11/11/1933,1933-11-11
05/17/2036,17/05/2036
08/09/1913,1913-08-09
10/11/2060,2060-10-11
13/05/1943,1943-05-13
2007-10-16,16/10/2007
1941-05-17,17/05/1941
08/29/2050,2050-08-29
05/20/1979,20/05/1979
01/06/2030,2030-06-01
24/10/2045,10/24/2045
2097-03-12,12/03/2097
12/30/1942,1942-12-30
03/28/1943,28/03/1943
11/07/1951,07/11/1951
02/25/2029,2029-02-25
1900-04-21,21/04/1900
04/30/2019,2019-04-30
05/03/1910,03/05/1910
04/24/1900,24/04/1900
08/12/2026,2026-12-08
10/14/1993,1993-10-14
10/15/1969,1969-10-15
03/19/1923,1923-03-19
02/24/1963,24/02/1963
1932-10-22,22/10/1932
1991-10-19,10/19/1991
02/07/1945,07/02/1945
2076-03-12,03/12/2076
1995-11-10,10/11/1995
21/03/1906,03/21/1906
11/30/2051,30/11/2051
24/10/2083,2083-10-24
2022-06-19,19/06/2022
20/10/2068,2068-10-20
11/07/2085,2085-07-11
1979-08-28,28/08/1979
05/08/1977,08/05/1977
29/03/2082,03/29/2082
2010-12-11,11/12/2010
05/10/1927,10/05/1927
2062-07-27,27/07/2062
05/29/1970,1970-05-29
1941-04-18,18/04/1941
2084-07-31,31/07/2084
1935-05-19,19/05/1935
23/10/1909,10/23/1909
2060-03-27,03/27/2060
07/12/1922,1922-12-07
07/07/1989,07/07/1989
01/07/1930,07/01/1930
11/09/1953,09/11/1953
12/21/2076,21/12/2076
1972-06-12,06/12/1972
03/01/2066,01/03/2066
10/06/1913,1913-06-10
1947-01-12,12/01/1947
04/08/2004,08/04/2004
11/21/2005,2005-11-21
02/12/1953,12/02/1953
22/09/2047,2047-09-22
1941-07-16,07/16/1941
16/02/2038,02/16/2038
02/18/1951,1951-02-18
11/24/1973,1973-11-24
2094-02-18,02/18/2094
20/11/1980,1980-11-20
08/19/1918,19/08/1918
2036-10-16,16/10/2036
01/27/1951,27/01/1951
12/12/2059,12/12/2059
27/12/1944,1944-12-27
2069-06-04,04/06/2069
2066-02-01,02/01/2066
08/12/2078,2078-12-08
1900-07-07,07/07/1900
06/01/1958,1958-06-01
07/04/2016,04/07/2016
1970-11-04,11/04/1970
09/12/2065,12/09/2065
04/06/2075,06/04/2075
07/13/1985,1985-07-13
11/08/2052,2052-11-08
2066-10-18,10/18/2066
1948-09-19,09/19/1948
01/03/2038,2038-01-03
2037-07-19,07/19/2037
1989-09-30,30/09/1989
09/14/1955,14/09/1955
07/03/1940,1940-03-07
10/06/2035,06/10/2035
09/16/1973,16/09/1973
01/06/1953,1953-06-01
22/12/1992,12/22/1992
10/02/1914,1914-10-02
06/05/1906,1906-05-06
03/06/2070,06/03/2070
05/12/1924,1924-05-12
11/01/2058,01/11/2058
1998-01-17,17/01/1998
1934-04-30,04/30/1934
01/19/2050,19/01/2050
10/19/2082,19/10/2082
05/22/1955,1955-05-22
02/18/2034,2034-02-18
1968-03-25,25/03/1968
15/12/2022,2022-12-15
1985-06-13,06/13/1985
15/05/2028,05/15/2028
1930-06-02,06/02/1930
03/16/1972,16/03/1972
1921-01-26,26/01/1921
05/22/2033,22/05/2033
1937-09-17,09/17/1937
1997-09-25,09/25/1997
2019-01-09,09/01/2019
01/27/2029,27/01/2029
09/28/1934,28/09/1934
09/16/1904,16/09/1904
06/15/2073,2073-06-15
1922-01-28,28/01/1922
1932-05-26,26/05/1932
13/07/2052,07/13/2052
07/16/2030,2030-07-16
2059-10-27,10/27/2059
1997-02-13,02/13/1997
14/02/2002,2002-02-14
08/18/1962,18/08/1962
08/03/2099,2099-03-08
1980-03-22,22/03/1980
07/09/1987,09/07/1987
26/11/1944,11/26/1944
2016-02-29,02/29/2016
09/28/2089,28/09/2089
1941-11-29,11/29/1941
11/07/2065,07/11/2065
08/15/2051,2051-08-15
1957-10-25,25/10/1957
24/09/2051,09/24/2051
1976-09-16,16/09/1976
2095-06-03,03/06/2095
2066-09-25,25/09/2066
2000-01-17,01/17/2000
20/02/1955,1955-02-20
10/09/1932,1932-10-09
1917-01-14,14/01/1917
08/03/2059,2059-08-03
01/07/2010,2010-01-07
1906-07-26,26/07/1906
2004-03-26,03/26/2004
2031-03-22,03/22/2031
2008-09-09,09/09/2008
07/30/2047,30/07/2047
11/23/2001,2001-11-23
12/26/2070,2070-12-26
26/05/2003,05/26/2003
05/25/1910,25/05/1910
01/21/1917,21/01/1917
04/08/2089,2089-08-04
1936-04-06,06/04/1936
01/25/2039,25/01/2039
12/12/2010,2010-12-12
20/12/1989,1989-12-20
16/05/1972,1972-05-16
06/22/2044,22/06/2044
10/12/2049,12/10/2049
22/02/2086,2086-02-22
02/04/2005,04/02/2005
2052-02-23,02/23/2052
04/08/2082,08/04/2082
24/02/2049,02/24/2049
05/29/2054,2054-05-29
2016-03-12,03/12/2016
2076-09-09,09/09/2076
07/29/2038,29/07/2038
08/26/2043,2043-08-26
2083-10-29,29/10/2083
05/29/2099,2099-05-29
12/15/1928,15/12/1928
2011-11-06,06/11/2011
05/25/1923,25/05/1923
1930-12-20,20/12/1930
2076-06-12,12/06/2076
17/07/2023,2023-07-17
06/27/2078,27/06/2078
01/04/2020,2020-04-01
15/11/1980,1980-11-15
12/13/1956,1956-12-13
05/02/2007,02/05/2007
12/29/1955,1955-12-29
10/15/1996,1996-10-15
1948-01-09,09/01/1948
08/05/2079,05/08/2079
01/31/1928,31/01/1928
21/10/1929,10/21/1929
03/12/1987,1987-12-03
09/09/1979,09/09/1979
08/05/1901,05/08/1901
11/02/1903,02/11/1903
11/09/2018,09/11/2018
03/10/2005,10/03/2005
23/07/1948,1948-07-23
27/07/1929,1929-07-27
05/08/2009,2009-08-05
1961-10-24,24/10/1961
06/16/2030,16/06/2030
05/04/2032,2032-04-05
04/01/1946,01/04/1946
13/09/2014,09/13/2014
12/17/1952,1952-12-17
1935-12-05,05/12/1935
1983-12-15,12/15/1983
16/06/2067,2067-06-16
2043-09-01,09/01/2043
04/27/1942,27/04/1942
2050-01-05,05/01/2050
22/02/2053,02/22/2053
22/02/1998,02/22/1998
1979-11-16,11/16/1979
03/10/1969,10/03/1969
04/06/2014,06/04/2014
17/10/1994,10/17/1994
1952-06-01,06/01/1952
01/23/1949,1949-01-23
1986-12-15,12/15/1986
26/04/1968,1968-04-26
1909-05-17,17/05/1909
11/29/1925,1925-11-29
02/20/2076,2076-02-20
02/25/2030,2030-02-25
16/09/1914,09/16/1914
1939-12-18,18/12/1939
31/05/1996,1996-05-31
01/09/1917,09/01/1917
12/09/1958,1958-09-12
10/04/2025,04/10/2025
1952-04-01,01/04/1952
13/05/2016,2016-05-13
1958-04-10,10/04/1958
01/24/1938,24/01/1938
01/28/1901,28/01/1901
08/05/1955,1955-05-08
1999-12-01,01/12/1999
11/11/1948,11/11/1948
01/20/2028,2028-01-20
11/12/1972,1972-12-11
12/02/1944,02/12/1944
07/12/2020,12/07/2020
10/13/1913,13/10/1913
2034-01-01,01/01/2034
2000-05-11,05/11/2000
03/19/2040,2040-03-19
2002-10-26,26/10/2002
1902-09-19,19/09/1902
26/12/1990,12/26/1990
03/09/2074,09/03/2074
1944-05-11,11/05/1944
09/10/2093,10/09/2093
2046-08-20,20/08/2046
2015-03-25,25/03/2015
2036-09-25,25/09/2036
05/11/1929,11/05/1929
08/14/1937,14/08/1937
1920-12-11,12/11/1920
1981-10-04,04/10/1981
13/05/2021,05/13/2021
21/07/1932,07/21/1932
21/08/1904,1904-08-21
10/07/1919,07/10/1919
07/31/2088,31/07/2088
29/12/2085,12/29/2085
21/01/1927,01/21/1927
01/01/2065,01/01/2065
1975-08-25,08/25/1975
06/03/1922,1922-06-03
31/12/2028,12/31/2028
02/15/2090,15/02/2090
25/01/2029,2029-01-25
12/06/2006,06/12/2006
14/05/2094,05/14/2094
28/12/2003,12/28/2003
12/04/2075,2075-04-12
15/04/1933,1933-04-15
1952-06-02,02/06/1952
28/11/1901,11/28/1901
1980-03-23,23/03/1980
30/07/1990,1990-07-30
29/05/1921,05/29/1921
05/18/2082,18/05/2082
2014-11-09,11/09/2014
1985-03-10,10/03/1985
1966-11-11,11/11/1966
14/11/1974,1974-11-14
03/18/1960,18/03/1960
1917-03-27,27/03/1917
24/01/2014,2014-01-24
10/16/1918,1918-10-16
2049-08-26,26/08/2049
1948-01-10,01/10/1948
2043-02-25,02/25/2043
2077-03-07,03/07/2077
03/23/2092,2092-03-23
31/12/2056,2056-12-31
09/08/1925,1925-08-09
1984-05-14,05/14/1984
1905-01-18,01/18/1905
1988-02-03,03/02/1988
08/17/2086,2086-08-17
13/08/2007,08/13/2007
02/02/2035,2035-02-02
2068-09-20,09/20/2068
1988-03-15,03/15/1988
1912-05-04,04/05/1912
1914-09-08,08/09/1914
06/03/2011,2011-06-03
2069-03-26,26/03/2069
10/03/2037,03/10/2037
2076-10-16,10/16/2076
03/21/2025,2025-03-21
1971-04-01,01/04/1971
19/07/1998,07/19/1998
03/05/2066,05/03/2066
03/22/1985,1985-03-22
13/03/2081,03/13/2081
03/30/1966,30/03/1966
19/06/1986,06/19/1986
17/07/2059,07/17/2059
2086-05-10,05/10/2086
1909-01-07,01/07/1909
2087-12-29,12/29/2087
06/09/1972,1972-09-06
1934-10-06,10/06/1934
2070-11-21,11/21/2070
28/10/2062,2062-10-28
02/12/2072,12/02/2072
2049-09-30,09/30/2049
05/21/2076,21/05/2076
04/08/2059,08/04/2059
10/08/1980,08/10/1980
08/08/2061,08/08/2061
08/04/2013,04/08/2013
03/07/1977,1977-03-07
2091-12-18,18/12/2091
1932-01-19,19/01/1932
10/11/1928,1928-10-11
1920-07-31,31/07/1920
1985-12-24,12/24/1985
2084-11-05,05/11/2084
2049-01-31,31/01/2049
13/01/2005,2005-01-13
02/10/2019,10/02/2019
01/18/2031,2031-01-18
2069-09-21,09/21/2069
01/03/2055,2055-03-01
09/18/1920,18/09/1920
01/22/2041,2041-01-22
2012-08-29,08/29/2012
2088-08-03,03/08/2088
08/11/1978,1978-08-11
01/09/1985,09/01/1985
04/05/2063,2063-04-05
03/19/2019,2019-03-19
15/09/1912,09/15/1912
10/31/2052,2052-10-31
12/01/2043,2043-12-01
15/03/1900,03/15/1900
10/29/2074,2074-10-29
10/01/2042,01/10/2042
11/13/2088,2088-11-13
25/09/2039,09/25/2039
23/07/1987,07/23/1987
22/04/2073,2073-04-22
07/07/2077,2077-07-07
30/04/1920,04/30/1920
07/02/2087,02/07/2087
1905-10-17,17/10/1905
07/14/2012,2012-07-14
10/17/2054,2054-10-17
04/15/2031,2031-04-15
07/29/1969,29/07/1969
1936-06-01,01/06/1936
1919-09-02,09/02/1919
12/17/1903,1903-12-17
1901-05-20,20/05/1901
08/03/2006,03/08/2006
30/11/1962,1962-11-30
08/04/2079,04/08/2079
2006-02-01,02/01/2006
06/23/1979,23/06/1979
07/03/1966,1966-03-07
24/12/2084,12/24/2084
1927-08-19,08/19/1927
2044-02-05,02/05/2044
06/09/1945,09/06/1945
09/14/2081,2081-09-14
10/08/2078,2078-10-08
19/09/1956,1956-09-19
06/24/1915,1915-06-24
12/03/2040,03/12/2040
07/09/1920,1920-09-07
08/03/2068,03/08/2068
23/06/2044,2044-06-23
1999-12-23,23/12/1999
29/08/1980,1980-08-29
03/16/2003,2003-03-16
21/10/2042,10/21/2042
04/06/2036,2036-06-04
08/03/1974,1974-03-08
03/31/2000,2000-03-31
02/28/2045,2045-02-28
02/23/1956,23/02/1956
12/09/2068,09/12/2068
13/02/2019,2019-02-13
12/09/2044,2044-09-12
08/07/1996,1996-08-07
27/08/2078,2078-08-27
10/21/2069,2069-10-21
1923-02-09,09/02/1923
14/12/2066,2066-12-14
14/03/1923,1923-03-14
02/25/1959,25/02/1959
12/27/1982,1982-12-27
07/25/1912,1912-07-25
11/09/2017,09/11/2017
20/11/2049,11/20/2049
12/03/1943,03/12/1943
03/10/2022,2022-10-03
12/28/2057,2057-12-28
01/02/2066,2066-01-02
10/27/2035,2035-10-27
2037-11-20,20/11/2037
2078-03-09,03/09/2078
03/04/1991,04/03/1991
07/29/1936,1936-07-29
11/08/1946,08/11/1946
03/18/2034,18/03/2034
27/10/1948,1948-10-27
05/16/2046,16/05/2046
1953-12-29,12/29/1953
07/12/1957,12/07/1957
10/25/1943,25/10/1943
18/04/1911,04/18/1911
10/18/1962,1962-10-18
06/01/1963,01/06/1963
06/02/1942,1942-02-06
10/01/2041,01/10/2041
07/29/1904,1904-07-29
09/08/2094,08/09/2094
2052-04-13,13/04/2052
1980-03-21,03/21/1980
03/11/1921,1921-03-11
10/02/1914,02/10/1914
1980-03-30,30/03/1980
1997-02-13,02/13/1997
03/23/1968,23/03/1968
07/29/2077,29/07/2077
1917-10-01,01/10/1917
06/01/2027,2027-01-06
2066-09-16,09/16/2066
24/08/1967,08/24/1967
2022-08-27,27/08/2022
08/07/2042,07/08/2042
2038-12-05,12/05/2038
31/05/1912,05/31/1912
1983-11-11,11/11/1983
01/19/2084,2084-01-19
26/08/2027,2027-08-26
12/31/2006,2006-12-31
18/04/1955,04/18/1955
20/07/2045,07/20/2045
12/01/2074,2074-01-12
19/07/2027,2027-07-19
23/02/1935,1935-02-23
05/20/2071,20/05/2071
09/30/2009,30/09/2009
03/01/1983,01/03/1983
1991-07-17,17/07/1991
31/05/1993,1993-05-31
2055-11-22,11/22/2055
03/06/2069,06/03/2069
30/05/1958,05/30/1958
06/10/2013,2013-10-06
09/23/2015,2015-09-23
12/10/1917,10/12/1917
08/02/1937,02/08/1937
30/12/2001,2001-12-30
2097-05-14,05/14/2097
2041-06-02,06/02/2041
2022-07-30,07/30/2022
2037-02-13,02/13/2037
20/10/2035,2035-10-20
13/11/2033,11/13/2033
1919-10-04,04/10/1919
11/19/1925,1925-11-19
1941-08-03,08/03/1941
1920-03-10,03/10/1920
11/10/1959,1959-11-10
2071-04-28,28/04/2071
22/08/2081,2081-08-22
08/28/1936,1936-08-28
31/10/2074,10/31/2074
1901-11-26,26/11/1901
2039-11-16,16/11/2039
10/04/1986,04/10/1986
04/03/2055,2055-03-04
28/07/1999,07/28/1999
12/12/1967,1967-12-12
11/23/1976,1976-11-23
21/11/1973,1973-11-21
1965-10-21,10/21/1965
01/01/2043,01/01/2043
10/27/1926,1926-10-27
04/05/2096,05/04/2096
2001-12-31,12/31/2001
2084-11-27,11/27/2084
1990-06-28,28/06/1990
02/15/2076,15/02/2076
20/08/2052,2052-08-20
21/01/2097,2097-01-21
03/08/2043,08/03/2043
2087-04-27,27/04/2087
18/08/2056,08/18/2056
23/08/2045,2045-08-23
2038-12-08,08/12/2038
12/25/1931,1931-12-25
1980-09-11,11/09/1980
05/09/2029,09/05/2029
17/03/1976,1976-03-17
10/01/1934,1934-01-10
29/11/1940,1940-11-29
07/14/2053,14/07/2053
2036-12-29,29/12/2036
11/06/2001,06/11/2001
11/24/2003,2003-11-24
2070-05-17,17/05/2070
09/27/2077,27/09/2077
11/19/2066,2066-11-19
08/23/2082,23/08/2082
09/11/2065,11/09/2065
29/11/1994,1994-11-29
1976-04-26,04/26/1976
25/07/2035,07/25/2035
10/04/1930,04/10/1930
20/01/2031,01/20/2031
1942-08-29,08/29/1942
04/20/2025,2025-04-20
1953-12-28,28/12/1953
15/02/1936,02/15/1936
16/08/1907,08/16/1907
22/04/2086,04/22/2086
31/03/2075,03/31/2075
01/04/1942,1942-04-01
12/16/1931,16/12/1931
01/01/2037,2037-01-01
05/11/1921,11/05/1921
11/06/2065,06/11/2065
17/04/1929,04/17/1929
06/08/2030,2030-08-06
19/11/2054,11/19/2054
1918-06-04,04/06/1918
1917-04-24,24/04/1917
10/05/2017,05/10/2017
06/10/2047,2047-10-06
2032-02-03,03/02/2032
1985-11-22,22/11/1985
11/10/2037,10/11/2037
04/10/2063,10/04/2063
03/06/1924,1924-03-06
12/08/1950,08/12/1950
20/02/2012,02/20/2012
2090-11-03,03/11/2090
07/02/1975,1975-07-02
28/06/2010,2010-06-28
29/05/1950,05/29/1950
2077-05-29,05/29/2077
1905-01-20,20/01/1905
13/12/1966,1966-12-13
02/02/2097,02/02/2097
09/22/1992,1992-09-22
18/07/2058,2058-07-18
23/12/1940,12/23/1940
04/15/1988,1988-04-15
02/24/1970,1970-02-24
30/01/2071,2071-01-30
1916-09-28,09/28/1916
11/21/1923,1923-11-21
14/12/1973,1973-12-14
1908-07-27,27/07/1908
12/10/1949,10/12/1949
08/07/1926,1926-07-08
20/12/1935,1935-12-20
2071-02-06,06/02/2071
02/08/1954,1954-08-02
10/03/1983,1983-10-03
2007-01-02,01/02/2007
1930-08-30,30/08/1930
09/23/1903,1903-09-23
2076-06-24,06/24/2076
07/07/1903,1903-07-07
1936-01-15,15/01/1936
08/01/1941,01/08/1941
22/08/2029,08/22/2029
29/09/2083,09/29/2083
11/01/1954,1954-01-11
01/23/2049,2049-01-23
05/18/2046,2046-05-18
09/19/2048,19/09/2048
03/31/2090,31/03/2090
05/12/2049,2049-05-12
1904-02-16,02/16/1904
09/06/1940,06/09/1940
24/06/2012,2012-06-24
03/02/1952,1952-02-03
12/04/1950,1950-12-04
02/11/1974,11/02/1974
04/01/1954,1954-04-01
02/07/2034,07/02/2034
02/14/2066,2066-02-14
05/12/2006,12/05/2006
2034-02-25,25/02/2034
10/14/1988,1988-10-14
01/30/2024,2024-01-30
09/21/2014,21/09/2014
04/19/1922,1922-04-19
09/22/2081,2081-09-22
2058-01-10,10/01/2058
08/14/2078,2078-08-14
08/12/2087,2087-08-12
03/06/2031,06/03/2031
06/04/1963,1963-04-06
2014-03-26,03/26/2014
1991-04-30,04/30/1991
28/02/1910,1910-02-28
19/03/2096,03/19/2096
08/22/2060,22/08/2060
1998-06-08,06/08/1998
07/01/1956,01/07/1956
12/02/1975,1975-12-02
07/04/1944,04/07/1944
10/16/2090,16/10/2090
2063-03-27,27/03/2063
1941-08-01,01/08/1941
2052-07-30,30/07/2052
10/11/1910,11/10/1910
04/28/2069,2069-04-28
2076-11-02,02/11/2076
1929-04-02,04/02/1929
01/11/2041,11/01/2041
14/12/2025,12/14/2025
11/06/1953,06/11/1953
14/11/1940,1940-11-14
1993-03-14,14/03/1993
10/15/2068,15/10/2068
02/04/1994,1994-04-02
1989-01-10,10/01/1989
2055-10-26,10/26/2055
2081-09-15,15/09/2081
04/11/1998,11/04/1998
06/19/2002,19/06/2002
10/17/2072,2072-10-17
2006-07-07,07/07/2006
07/08/1987,08/07/1987
09/18/2051,2051-09-18
09/12/2076,2076-09-12
1987-11-03,03/11/1987
31/03/1935,03/31/1935
2024-09-14,14/09/2024
27/07/1945,1945-07-27
1995-11-28,28/11/1995
1933-04-17,04/17/1933
2024-09-15,09/15/2024
2017-11-23,23/11/2017
22/03/2042,2042-03-22
06/17/2099,17/06/2099
25/12/1912,12/25/1912
01/12/2022,12/01/2022
28/11/1917,11/28/1917
05/05/1952,1952-05-05
1973-11-03,03/11/1973
1948-10-17,17/10/1948
03/04/1963,1963-03-04
09/23/1975,23/09/1975
10/05/2053,05/10/2053
2048-12-23,23/12/2048
21/04/1922,04/21/1922
07/10/2076,10/07/2076
1940-09-08,08/09/1940
15/09/2089,2089-09-15
24/12/2069,2069-12-24
09/20/1920,1920-09-20
1908-11-18,11/18/1908
16/01/2088,2088-01-16
1911-05-16,05/16/1911
09/03/1960,03/09/1960
01/27/1957,1957-01-27
12/07/1989,1989-07-12
17/06/1958,06/17/1958
08/06/2055,06/08/2055
03/08/2094,2094-08-03
2078-01-15,15/01/2078
16/09/1996,1996-09-16
06/14/2065,14/06/2065
